Calories,Protein,Fat,Sodium,Fiber,Carbohydrates,Sugars,Shelf,Potassium,Vitamins,Weight,Cups
0.5454545454545454,0.2,0.4,0.5625,0.10714285714285714,0.4791666666666667,0.6875,0.0,0.21450151057401812,0.25,0.8,0.7
0.7272727272727273,0.4,0.4,0.65625,0.14285714285714285,0.7916666666666666,0.5625,1.0,0.30513595166163143,0.25,0.932,0.7
0.5454545454545454,1.0,0.4,0.90625,0.14285714285714285,0.75,0.125,0.0,0.3202416918429003,0.25,0.8,0.9
0.6363636363636364,0.0,0.6,0.65625,0.0,0.5833333333333334,0.625,0.5,0.13897280966767372,0.25,0.8,0.7
0.5454545454545454,0.4,0.4,0.4375,0.14285714285714285,0.5833333333333334,0.5,1.0,0.3202416918429003,0.25,0.8,0.6
0.5454545454545454,0.0,0.2,0.5625,0.0,0.5416666666666666,0.875,0.5,0.1691842900302115,0.25,0.8,0.8
0.5454545454545454,0.0,0.2,0.5625,0.0,0.5416666666666666,0.875,0.5,0.19939577039274925,0.25,0.8,0.8
0.45454545454545453,0.2,0.2,0.4375,0.14285714285714285,0.5,0.6875,1.0,0.36555891238670696,0.25,0.8,0.7
0.5454545454545454,0.0,0.2,0.875,0.0,0.6666666666666666,0.625,0.5,0.13897280966767372,0.25,0.8,0.7
0.5454545454545454,0.4,0.2,0.78125,0.10714285714285714,0.5208333333333334,0.6875,0.0,0.27492447129909364,0.25,0.8,0.7
0.5454545454545454,0.2,0.2,0.8125,0.0,0.9166666666666666,0.25,0.5,0.12386706948640483,0.25,0.8,1.0
0.5454545454545454,0.2,0.2,0.5625,0.0,0.5416666666666666,0.8125,0.5,0.1691842900302115,0.25,0.8,0.8
0.45454545454545453,0.2,0.2,0.6875,0.14285714285714285,0.6666666666666666,0.4375,0.0,0.27492447129909364,0.25,0.8,0.8
0.7272727272727273,0.4,0.4,0.53125,0.10714285714285714,0.6041666666666666,0.6875,1.0,0.36555891238670696,0.25,0.9,0.6
0.45454545454545453,0.4,0.4,0.4375,0.17857142857142858,0.4791666666666667,0.5625,1.0,0.4259818731117825,0.25,0.8,0.6
0.5454545454545454,0.2,0.2,0.625,0.0,0.9166666666666666,0.25,1.0,0.10876132930513595,1.0,0.8,0.8
0.8181818181818182,0.4,0.2,0.59375,0.2857142857142857,0.6666666666666666,0.9375,1.0,0.6978851963746223,1.0,1.0,0.8
0.45454545454545453,0.4,0.2,0.625,0.21428571428571427,0.7083333333333334,0.25,1.0,0.33534743202416917,1.0,0.8,0.8
0.5454545454545454,0.2,0.2,0.78125,0.0,0.9166666666666666,0.25,1.0,0.18429003021148035,0.25,0.8,0.7
0.5454545454545454,0.0,0.2,0.4375,0.0,0.5833333333333334,0.8125,0.5,0.07854984894259819,0.25,0.8,0.8
0.45454545454545453,0.4,0.2,0.625,0.21428571428571427,0.75,0.25,0.0,0.33534743202416917,0.25,0.8,0.8
0.5454545454545454,0.2,0.2,0.625,0.07142857142857142,0.7083333333333334,0.5625,0.0,0.18429003021148035,0.25,0.8,0.7
0.18181818181818182,0.6,0.2,0.8125,0.6428571428571429,0.3333333333333333,0.375,1.0,0.9697885196374623,0.25,0.8,0.532
0.0,0.6,0.0,0.4375,1.0,0.375,0.0625,1.0,1.0,0.25,0.8,0.6
0.5454545454545454,0.2,0.0,0.390625,0.07142857142857142,0.5,0.9375,0.5,0.09365558912386707,0.25,0.8,0.8
0.45454545454545453,0.2,0.0,0.90625,0.07142857142857142,0.9166666666666666,0.1875,0.0,0.10876132930513595,0.25,0.8,0.8
0.5454545454545454,0.0,0.0,0.28125,0.07142857142857142,0.5833333333333334,0.8125,0.5,0.0634441087613293,0.25,0.8,0.8
0.5454545454545454,0.4,0.6,0.4375,0.2857142857142857,0.4583333333333333,0.5,1.0,0.486404833836858,0.25,0.8,0.6
0.5454545454545454,0.2,0.0,0.6875,0.07142857142857142,0.9166666666666666,0.25,1.0,0.09365558912386707,0.25,0.8,0.8
0.5454545454545454,0.2,0.2,0.390625,0.07142857142857142,0.5,0.875,0.5,0.09365558912386707,0.25,0.8,0.8
0.5454545454545454,0.0,0.0,0.625,0.07142857142857142,0.625,0.75,0.0,0.07854984894259819,0.25,0.8,0.7
0.45454545454545453,0.4,0.0,0.0,0.21428571428571427,0.625,0.5,0.5,0.30513595166163143,0.25,0.8,0.72
0.6363636363636364,0.4,0.0,0.75,0.35714285714285715,0.625,0.8125,1.0,0.5770392749244713,0.25,0.932,0.6679999999999999
0.5454545454545454,0.2,0.2,0.53125,0.07142857142857142,0.75,0.4375,1.0,0.18429003021148035,1.0,0.8,0.0
0.8181818181818182,0.4,0.2,0.53125,0.14285714285714285,0.875,0.625,1.0,0.29003021148036257,1.0,0.9199999999999999,0.7
1.0,0.4,0.4,0.46875,0.21428571428571427,0.75,0.875,1.0,0.486404833836858,0.25,1.0,0.6679999999999999
0.6363636363636364,0.2,0.2,0.59375,0.0,0.6666666666666666,0.625,0.5,0.12386706948640483,0.25,0.8,0.6679999999999999
0.8181818181818182,0.4,0.4,0.6875,0.21428571428571427,0.9166666666666666,0.5,1.0,0.3957703927492447,0.25,0.932,0.6679999999999999
0.36363636363636365,0.4,0.0,0.53125,0.21428571428571427,0.7916666666666666,0.1875,1.0,0.27492447129909364,0.25,0.8,0.0
0.45454545454545453,0.4,0.0,1.0,0.07142857142857142,0.875,0.25,1.0,0.13897280966767372,1.0,0.8,0.8
0.6363636363636364,0.4,0.2,0.65625,0.35714285714285715,0.625,0.8125,0.5,0.7280966767371602,0.25,0.932,0.7
0.36363636363636365,0.2,0.0,0.0,0.14285714285714285,0.6666666666666666,0.4375,1.0,0.33534743202416917,0.25,0.8,0.6
0.5454545454545454,0.2,0.0,0.90625,0.0,0.9583333333333334,0.25,0.0,0.10876132930513595,0.25,0.8,0.8
0.5454545454545454,0.2,0.2,0.21875,0.07142857142857142,0.4166666666666667,1.0,0.5,0.12386706948640483,0.25,0.8,0.7
0.5454545454545454,1.0,0.0,0.71875,0.07142857142857142,0.7083333333333334,0.25,0.0,0.1691842900302115,0.25,0.8,0.8
0.18181818181818182,0.6,0.2,0.40625,0.7142857142857143,0.25,0.4375,1.0,0.8489425981873112,0.25,0.8,0.532
0.2727272727272727,0.2,0.0,0.0,0.21428571428571427,0.7083333333333334,0.0625,0.0,0.29003021148036257,0.0,0.732,0.0
0.36363636363636365,0.4,0.0,0.0,0.2857142857142857,0.8333333333333334,0.0625,0.0,0.4259818731117825,0.0,0.8,0.6679999999999999
0.36363636363636365,0.4,0.0,0.0,0.21428571428571427,0.875,0.0625,0.0,0.36555891238670696,0.0,0.8,0.6679999999999999
0.36363636363636365,0.2,0.0,0.046875,0.21428571428571427,0.6666666666666666,0.375,0.5,0.27492447129909364,0.25,0.8,0.0
0.36363636363636365,0.4,0.0,0.65625,0.35714285714285715,0.5833333333333334,0.375,1.0,0.5770392749244713,0.25,0.8,0.6679999999999999
0.6363636363636364,0.4,0.4,0.5,0.35714285714285715,0.5416666666666666,0.6875,1.0,0.6072507552870091,0.25,0.9,0.6679999999999999
0.5454545454545454,0.0,0.2,0.421875,0.0,0.5833333333333334,0.8125,0.5,0.07854984894259819,0.25,0.8,0.7
0.45454545454545453,0.2,0.0,0.140625,0.0,0.5,1.0,0.0,0.12386706948640483,0.25,0.8,0.752
0.45454545454545453,0.4,0.2,0.4375,0.21428571428571427,0.6666666666666666,0.375,1.0,0.2598187311178248,0.25,0.8,0.752
0.5454545454545454,0.4,0.0,0.53125,0.21428571428571427,0.75,0.25,1.0,0.27492447129909364,0.25,0.8,0.5
0.6363636363636364,0.4,0.6,0.234375,0.21428571428571427,0.5833333333333334,0.3125,1.0,0.30513595166163143,0.25,0.8,0.532
0.5454545454545454,0.0,0.0,0.5625,0.0,0.625,0.75,0.0,0.10876132930513595,0.25,0.8,0.932
0.6363636363636364,0.4,0.2,0.625,0.42857142857142855,0.5,0.9375,1.0,0.7885196374622356,0.25,0.932,0.6679999999999999
0.6363636363636364,0.4,1.0,0.046875,0.14285714285714285,0.375,0.5625,1.0,0.4108761329305136,0.0,0.8,0.0
0.6363636363636364,0.0,0.4,0.6875,0.0,0.5416666666666666,0.8125,0.5,0.10876132930513595,0.25,0.8,0.7
0.6363636363636364,0.0,0.4,0.6875,0.07142857142857142,0.5416666666666666,0.75,0.5,0.13897280966767372,0.25,0.8,0.8
0.45454545454545453,0.6,0.4,0.46875,0.14285714285714285,0.5416666666666666,0.4375,0.5,0.29003021148036257,0.25,0.8,0.6679999999999999
0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0625,1.0,0.04833836858006042,0.0,0.6,0.8
0.0,0.2,0.0,0.0,0.07142857142857142,0.4583333333333333,0.0625,1.0,0.1540785498489426,0.0,0.6,0.0
0.45454545454545453,0.6,0.2,0.421875,0.14285714285714285,0.625,0.4375,1.0,0.33534743202416917,0.25,0.8,0.6
0.5454545454545454,0.2,0.4,0.625,0.07142857142857142,0.625,0.5625,1.0,0.0,0.25,0.8,0.7
0.36363636363636365,0.2,0.2,0.625,0.2857142857142857,0.6666666666666666,0.4375,0.0,0.3806646525679758,0.25,0.8,0.6679999999999999
0.5454545454545454,0.2,0.0,0.875,0.0,0.9583333333333334,0.25,0.0,0.07854984894259819,0.25,0.8,0.8
0.45454545454545453,0.2,0.0,0.59375,0.07142857142857142,0.7916666666666666,0.375,1.0,0.24471299093655588,0.25,0.8,0.7
0.9090909090909091,0.6,0.6,0.296875,0.21428571428571427,0.7083333333333334,0.75,1.0,0.5166163141993958,0.25,0.0,0.0
0.9090909090909091,0.6,0.6,0.46875,0.21428571428571427,0.7083333333333334,0.75,1.0,0.5166163141993958,0.25,0.0,0.0
0.5454545454545454,0.0,0.0,0.75,0.0,1.0,0.1875,0.0,0.09365558912386707,0.25,0.8,0.852
0.45454545454545453,0.4,0.2,0.71875,0.21428571428571427,0.75,0.25,0.0,0.3504531722054381,0.25,0.8,0.6679999999999999
0.45454545454545453,0.6,0.2,0.0,0.0,0.7083333333333334,0.25,0.5,0.29003021148036257,0.25,0.8,0.0
0.45454545454545453,0.4,0.0,0.25,0.07142857142857142,0.9166666666666666,0.0625,0.5,0.0,0.0,0.8,0.8
0.45454545454545453,0.8,0.4,0.0,0.19285714285714287,0.0,0.0,0.0,0.33534743202416917,0.0,0.8,0.6679999999999999
